Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",186.000000,-83.000000,-90.000000,top
"C2","0.1uF","C_0603_1608Metric",172.000000,-83.000000,-90.000000,top
"C3","0.1uF","C_0603_1608Metric",179.000000,-83.000000,-90.000000,top
"C4","10uF","C_0805_2012Metric",194.250000,-62.500000,90.000000,top
"C5","0.1uF","C_0603_1608Metric",164.500000,-83.000000,-90.000000,top
"C6","0.1uF","C_0603_1608Metric",150.500000,-83.000000,-90.000000,top
"C7","0.1uF","C_0603_1608Metric",157.500000,-83.000000,-90.000000,top
"C8","10uF","C_0805_2012Metric",172.250000,-62.500000,90.000000,top
"C9","0.1uF","C_0603_1608Metric",143.000000,-83.000000,-90.000000,top
"C10","0.1uF","C_0603_1608Metric",129.000000,-83.000000,-90.000000,top
"C11","0.1uF","C_0603_1608Metric",136.000000,-83.000000,-90.000000,top
"C12","10uF","C_0805_2012Metric",151.000000,-62.500000,90.000000,top
"C13","0.1uF","C_0603_1608Metric",121.500000,-83.000000,-90.000000,top
"C14","0.1uF","C_0603_1608Metric",107.500000,-83.000000,-90.000000,top
"C15","0.1uF","C_0603_1608Metric",114.500000,-83.000000,-90.000000,top
"C16","10uF","C_0805_2012Metric",129.500000,-62.500000,90.000000,top
"D1","BSD5C031V","D_SOD-523",192.000000,-76.050000,90.000000,top
"D2","PESD5V0S1BBN","D_SOD-523",194.200000,-65.850000,90.000000,top
"D3","BSD5C031V","D_SOD-523",170.500000,-76.050000,90.000000,top
"D4","PESD5V0S1BBN","D_SOD-523",172.700000,-65.850000,90.000000,top
"D5","BSD5C031V","D_SOD-523",149.000000,-76.050000,90.000000,top
"D6","PESD5V0S1BBN","D_SOD-523",151.200000,-65.850000,90.000000,top
"D7","BSD5C031V","D_SOD-523",127.500000,-76.050000,90.000000,top
"D8","PESD5V0S1BBN","D_SOD-523",129.700000,-65.850000,90.000000,top
"FB1","FB_100R_3A","L_0603_1608Metric",192.250000,-62.500000,90.000000,top
"FB2","FB_100R_3A","L_0603_1608Metric",170.250000,-62.500000,90.000000,top
"FB3","FB_100R_3A","L_0603_1608Metric",149.000000,-62.500000,90.000000,top
"FB4","FB_100R_3A","L_0603_1608Metric",127.500000,-62.500000,90.000000,top
"R1","1K","R_0603_1608Metric",185.000000,-79.500000,-90.000000,top
"R2","120R","R_0603_1608Metric",182.500000,-80.500000,180.000000,top
"R3","1K","R_0603_1608Metric",180.000000,-79.500000,90.000000,top
"R4","1K","R_0603_1608Metric",192.000000,-79.500000,-90.000000,top
"R5","120R","R_0603_1608Metric",189.500000,-80.500000,180.000000,top
"R6","1K","R_0603_1608Metric",187.000000,-79.500000,90.000000,top
"R7","1K","R_0603_1608Metric",178.000000,-79.500000,-90.000000,top
"R8","120R","R_0603_1608Metric",175.500000,-80.000000,0.000000,top
"R9","1K","R_0603_1608Metric",173.000000,-79.500000,90.000000,top
"R10","10R","R_0603_1608Metric",175.500000,-70.000000,90.000000,top
"R11","10R","R_0603_1608Metric",174.000000,-70.000000,90.000000,top
"R12","10R","R_0603_1608Metric",183.000000,-70.000000,90.000000,top
"R13","10R","R_0603_1608Metric",190.500000,-70.000000,90.000000,top
"R14","10R","R_0603_1608Metric",189.000000,-70.000000,90.000000,top
"R15","10R","R_0603_1608Metric",181.500000,-70.000000,90.000000,top
"R16","0R","R_0603_1608Metric",192.250000,-59.250000,-90.000000,top
"R17","1K","R_0603_1608Metric",163.500000,-79.500000,-90.000000,top
"R18","120R","R_0603_1608Metric",161.000000,-80.500000,180.000000,top
"R19","1K","R_0603_1608Metric",158.500000,-79.500000,90.000000,top
"R20","1K","R_0603_1608Metric",170.500000,-79.500000,-90.000000,top
"R21","120R","R_0603_1608Metric",168.000000,-80.500000,180.000000,top
"R22","1K","R_0603_1608Metric",165.500000,-79.500000,90.000000,top
"R23","1K","R_0603_1608Metric",156.500000,-79.500000,-90.000000,top
"R24","120R","R_0603_1608Metric",154.000000,-80.000000,0.000000,top
"R25","1K","R_0603_1608Metric",151.500000,-79.500000,90.000000,top
"R26","10R","R_0603_1608Metric",154.000000,-70.000000,90.000000,top
"R27","10R","R_0603_1608Metric",152.500000,-70.000000,90.000000,top
"R28","10R","R_0603_1608Metric",161.500000,-70.000000,90.000000,top
"R29","10R","R_0603_1608Metric",169.000000,-70.000000,90.000000,top
"R30","10R","R_0603_1608Metric",167.500000,-70.000000,90.000000,top
"R31","10R","R_0603_1608Metric",160.000000,-70.000000,90.000000,top
"R32","0R","R_0603_1608Metric",170.750000,-59.250000,-90.000000,top
"R33","1K","R_0603_1608Metric",142.000000,-79.500000,-90.000000,top
"R34","120R","R_0603_1608Metric",139.500000,-80.500000,180.000000,top
"R35","1K","R_0603_1608Metric",137.000000,-79.500000,90.000000,top
"R36","1K","R_0603_1608Metric",149.000000,-79.500000,-90.000000,top
"R37","120R","R_0603_1608Metric",146.500000,-80.500000,180.000000,top
"R38","1K","R_0603_1608Metric",144.000000,-79.500000,90.000000,top
"R39","1K","R_0603_1608Metric",135.000000,-79.500000,-90.000000,top
"R40","120R","R_0603_1608Metric",132.500000,-80.000000,0.000000,top
"R41","1K","R_0603_1608Metric",130.000000,-79.500000,90.000000,top
"R42","10R","R_0603_1608Metric",132.500000,-70.000000,90.000000,top
"R43","10R","R_0603_1608Metric",131.000000,-70.000000,90.000000,top
"R44","10R","R_0603_1608Metric",140.000000,-70.000000,90.000000,top
"R45","10R","R_0603_1608Metric",147.500000,-70.000000,90.000000,top
"R46","10R","R_0603_1608Metric",146.000000,-70.000000,90.000000,top
"R47","10R","R_0603_1608Metric",138.500000,-70.000000,90.000000,top
"R48","0R","R_0603_1608Metric",149.250000,-59.250000,-90.000000,top
"R49","1K","R_0603_1608Metric",120.500000,-79.500000,-90.000000,top
"R50","120R","R_0603_1608Metric",118.000000,-80.500000,180.000000,top
"R51","1K","R_0603_1608Metric",115.500000,-79.500000,90.000000,top
"R52","1K","R_0603_1608Metric",127.500000,-79.500000,-90.000000,top
"R53","120R","R_0603_1608Metric",125.000000,-80.500000,180.000000,top
"R54","1K","R_0603_1608Metric",122.500000,-79.500000,90.000000,top
"R55","1K","R_0603_1608Metric",113.500000,-79.500000,-90.000000,top
"R56","120R","R_0603_1608Metric",111.000000,-80.000000,0.000000,top
"R57","1K","R_0603_1608Metric",108.500000,-79.500000,90.000000,top
"R58","10R","R_0603_1608Metric",111.000000,-70.000000,90.000000,top
"R59","10R","R_0603_1608Metric",109.500000,-70.000000,90.000000,top
"R60","10R","R_0603_1608Metric",118.500000,-70.000000,90.000000,top
"R61","10R","R_0603_1608Metric",126.000000,-70.000000,90.000000,top
"R62","10R","R_0603_1608Metric",124.500000,-70.000000,90.000000,top
"R63","10R","R_0603_1608Metric",117.000000,-70.000000,90.000000,top
"R64","0R","R_0603_1608Metric",127.750000,-59.250000,-90.000000,top
"U1","CS48505S","SOIC-8_3.9x4.9mm_P1.27mm",182.500000,-85.000000,90.000000,top
"U2","CS48505S","SOIC-8_3.9x4.9mm_P1.27mm",189.500000,-85.000000,90.000000,top
"U3","CS48505S","SOIC-8_3.9x4.9mm_P1.27mm",175.500000,-85.000000,90.000000,top
"U4","USBLC6-4SC6","SOT-23-6",178.500000,-70.000000,0.000000,top
"U5","USBLC6-4SC6","SOT-23-6",186.000000,-70.000000,0.000000,top
"U6","CS48505S","SOIC-8_3.9x4.9mm_P1.27mm",161.000000,-85.000000,90.000000,top
"U7","CS48505S","SOIC-8_3.9x4.9mm_P1.27mm",168.000000,-85.000000,90.000000,top
"U8","CS48505S","SOIC-8_3.9x4.9mm_P1.27mm",154.000000,-85.000000,90.000000,top
"U9","USBLC6-4SC6","SOT-23-6",157.000000,-70.000000,0.000000,top
"U10","USBLC6-4SC6","SOT-23-6",164.500000,-70.000000,0.000000,top
"U11","CS48505S","SOIC-8_3.9x4.9mm_P1.27mm",139.500000,-85.000000,90.000000,top
"U12","CS48505S","SOIC-8_3.9x4.9mm_P1.27mm",146.500000,-85.000000,90.000000,top
"U13","CS48505S","SOIC-8_3.9x4.9mm_P1.27mm",132.500000,-85.000000,90.000000,top
"U14","USBLC6-4SC6","SOT-23-6",135.500000,-70.000000,0.000000,top
"U15","USBLC6-4SC6","SOT-23-6",143.000000,-70.000000,0.000000,top
"U16","CS48505S","SOIC-8_3.9x4.9mm_P1.27mm",118.000000,-85.000000,90.000000,top
"U17","CS48505S","SOIC-8_3.9x4.9mm_P1.27mm",125.000000,-85.000000,90.000000,top
"U18","CS48505S","SOIC-8_3.9x4.9mm_P1.27mm",111.000000,-85.000000,90.000000,top
"U19","USBLC6-4SC6","SOT-23-6",114.000000,-70.000000,0.000000,top
"U20","USBLC6-4SC6","SOT-23-6",121.500000,-70.000000,0.000000,top
